2022/8/18 11:45: HTTP server online.
2022/8/18 16:34: 1292: 127.0.0.1: 404 Not Found
2022/8/18 16:34: 1336: 127.0.0.1: GET /vendor/katex/fonts/KaTeX_Main-Regular.woff
2022/8/18 16:34: 1336: 127.0.0.1: 404 Not Found
2022/8/18 16:34: 1324: 127.0.0.1: GET /vendor/katex/fonts/KaTeX_Main-Regular.ttf
2022/8/18 16:34: 1324: 127.0.0.1: 404 Not Found
2022/8/18 17:28: 988: [::1]: GET /
2022/8/18 17:28: 988: [::1]: 401 Unauthorized
2022/8/18 17:28: 1252: [::1]: GET /
2022/8/18 17:28: 1252: [::1]: 200 OK
2022/8/18 17:28: 988: [::1]: GET /style.css
2022/8/18 17:28: 988: [::1]: 200 OK
2022/8/18 17:28: 1284: [::1]: GET /schemes/atelier-dune.css
2022/8/18 17:28: 1284: [::1]: 200 OK
2022/8/18 17:28: 1264: [::1]: GET /vendor/katex/katex.min.css
2022/8/18 17:28: 1264: [::1]: 200 OK
2022/8/18 17:28: 1320: [::1]: GET /vendor/katex/katex.min.js
2022/8/18 17:28: 1320: [::1]: 200 OK
2022/8/18 17:28: 1280: [::1]: GET /vendor/hljs/styles/hybrid.min.css
2022/8/18 17:28: 1280: [::1]: 200 OK
2022/8/18 17:28: 1264: [::1]: GET /vendor/remarkable-katex/remarkableKatex.min.js
2022/8/18 17:28: 1264: [::1]: 200 OK
2022/8/18 17:28: 1328: [::1]: GET /vendor/hljs/highlight.min.js
2022/8/18 17:28: 1328: [::1]: 200 OK
2022/8/18 17:28: 1284: [::1]: GET /vendor/remarkable/remarkable.min.js
2022/8/18 17:28: 1284: [::1]: 200 OK
2022/8/18 17:28: 1280: [::1]: GET /static/auth.js
2022/8/18 17:28: 1280: [::1]: 200 OK
2022/8/18 17:28: 1184: [::1]: GET /jquery.min.js
2022/8/18 17:28: 1184: [::1]: 200 OK
2022/8/18 17:28: 1320: [::1]: GET /static/layer/layer.js
2022/8/18 17:28: 1320: [::1]: 200 OK
2022/8/18 17:28: 1204: [::1]: GET /static/dplayer/DPlayer.min.js
2022/8/18 17:28: 1204: [::1]: 200 OK
2022/8/18 17:28: 1284: [::1]: GET /client.js
2022/8/18 17:28: 1284: [::1]: 200 OK
2022/8/18 17:28: 1380: [::1]: GET /static/pcm-recorder.js
2022/8/18 17:28: 1380: [::1]: 200 OK
2022/8/18 17:28: 1280: [::1]: GET /static/socket.io.js/socket.io.js
2022/8/18 17:28: 1280: [::1]: 200 OK
2022/8/18 17:28: 1184: [::1]: GET /static/pcm-player.js
2022/8/18 17:28: 1184: [::1]: 200 OK
2022/8/18 17:28: 1320: [::1]: GET /static/dist/recorder-core.js
2022/8/18 17:28: 1320: [::1]: 200 OK
2022/8/18 17:28: 1284: [::1]: GET /static/dist/engine/mp3.js
2022/8/18 17:28: 1284: [::1]: 200 OK
2022/8/18 17:28: 992: [::1]: GET /audio/notify.m4a
2022/8/18 17:28: 992: [::1]: 206 OK
2022/8/18 17:28: 1284: [::1]: GET /static/layer/theme/default/layer.css?v=3.5.1
2022/8/18 17:28: 1284: [::1]: 200 OK
2022/8/18 17:28: 1320: [::1]: GET /e61d8459-ee9b-4e19-9875-cb6cfc7ec62a.woff
2022/8/18 17:28: 1320: [::1]: 200 OK
2022/8/18 17:28: 1284: [::1]: GET /favicon.ico
2022/8/18 17:28: 1284: [::1]: 200 OK
2022/8/18 17:28: 1324: [::1]: GET /?7v005qdc
2022/8/18 17:28: 1324: [::1]: 200 OK
2022/8/18 17:28: 1288: [::1]: GET /audio/notify.m4a
2022/8/18 17:28: 1288: [::1]: 200 OK
2022/8/18 17:29: 1324: [::1]: GET /?7v005qdc
2022/8/18 17:29: 1324: [::1]: 200 OK
2022/8/18 17:29: 1292: [::1]: GET /?7v005qdc
2022/8/18 17:29: 1292: [::1]: 200 OK
2022/8/18 22:43: 1488: 127.0.0.1: GET /
2022/8/18 22:43: 1488: 127.0.0.1: 200 OK
2022/8/18 22:43: 1492: 127.0.0.1: GET /style.css
2022/8/18 22:43: 1492: 127.0.0.1: 200 OK
2022/8/18 22:43: 1360: 127.0.0.1: GET /vendor/katex/katex.min.css
2022/8/18 22:43: 1360: 127.0.0.1: 200 OK
2022/8/18 22:43: 1288: 127.0.0.1: GET /schemes/atelier-dune.css
2022/8/18 22:43: 1288: 127.0.0.1: 200 OK
2022/8/18 22:43: 1496: 127.0.0.1: GET /vendor/katex/katex.min.js
2022/8/18 22:43: 1496: 127.0.0.1: 200 OK
2022/8/18 22:43: 1516: 127.0.0.1: GET /vendor/hljs/styles/hybrid.min.css
2022/8/18 22:43: 1516: 127.0.0.1: 200 OK
2022/8/18 22:43: 1372: 127.0.0.1: GET /vendor/remarkable-katex/remarkableKatex.min.js
2022/8/18 22:43: 1372: 127.0.0.1: 200 OK
2022/8/18 22:43: 1288: 127.0.0.1: GET /vendor/hljs/highlight.min.js
2022/8/18 22:43: 1288: 127.0.0.1: 200 OK
2022/8/18 22:43: 1508: 127.0.0.1: GET /vendor/remarkable/remarkable.min.js
2022/8/18 22:43: 1508: 127.0.0.1: 200 OK
2022/8/18 22:43: 1328: 127.0.0.1: GET /static/auth.js
2022/8/18 22:43: 1328: 127.0.0.1: 200 OK
2022/8/18 22:43: 1376: 127.0.0.1: GET /jquery.min.js
2022/8/18 22:43: 1376: 127.0.0.1: 200 OK
2022/8/18 22:43: 1288: 127.0.0.1: GET /static/layer/layer.js
2022/8/18 22:43: 1288: 127.0.0.1: 200 OK
2022/8/18 22:43: 1492: 127.0.0.1: GET /static/dplayer/DPlayer.min.js
2022/8/18 22:43: 1492: 127.0.0.1: 200 OK
2022/8/18 22:43: 1536: 127.0.0.1: GET /client.js
2022/8/18 22:43: 1536: 127.0.0.1: 200 OK
2022/8/18 22:43: 1552: 127.0.0.1: GET /static/pcm-recorder.js
2022/8/18 22:43: 1552: 127.0.0.1: 200 OK
2022/8/18 22:43: 1328: 127.0.0.1: GET /static/socket.io.js/socket.io.js
2022/8/18 22:43: 1328: 127.0.0.1: 200 OK
2022/8/18 22:43: 1528: 127.0.0.1: GET /static/pcm-player.js
2022/8/18 22:43: 1528: 127.0.0.1: 200 OK
2022/8/18 22:43: 1500: 127.0.0.1: GET /static/dist/recorder-core.js
2022/8/18 22:43: 1500: 127.0.0.1: 200 OK
2022/8/18 22:43: 1492: 127.0.0.1: GET /static/dist/engine/mp3.js
2022/8/18 22:43: 1492: 127.0.0.1: 200 OK
2022/8/18 22:43: 1500: 127.0.0.1: GET /audio/notify.m4a
2022/8/18 22:43: 1500: 127.0.0.1: 206 OK
2022/8/18 22:43: 1228: 127.0.0.1: GET /static/layer/theme/default/layer.css?v=3.5.1
2022/8/18 22:43: 1228: 127.0.0.1: 200 OK
2022/8/18 22:43: 1536: 127.0.0.1: GET /e61d8459-ee9b-4e19-9875-cb6cfc7ec62a.woff
2022/8/18 22:43: 1536: 127.0.0.1: 200 OK
2022/8/18 22:43: 1556: 127.0.0.1: GET /
2022/8/18 22:43: 1556: 127.0.0.1: 200 OK
2022/8/18 22:43: 1532: 127.0.0.1: GET /favicon.ico
2022/8/18 22:43: 1532: 127.0.0.1: 200 OK
2022/8/18 22:43: 1500: 127.0.0.1: GET /?xq102210
2022/8/18 22:43: 1500: 127.0.0.1: 200 OK
2022/8/18 22:43: 1532: 127.0.0.1: GET /audio/notify.m4a
2022/8/18 22:43: 1532: 127.0.0.1: 200 OK
2022/8/18 22:44: 1512: 127.0.0.1: GET /vendor/katex/fonts/KaTeX_Main-Regular.woff2
2022/8/18 22:44: 1512: 127.0.0.1: 404 Not Found
2022/8/18 22:44: 1508: 127.0.0.1: GET /vendor/katex/fonts/KaTeX_Main-Regular.woff
2022/8/18 22:44: 1508: 127.0.0.1: 404 Not Found
2022/8/18 22:44: 1280: 127.0.0.1: GET /vendor/katex/fonts/KaTeX_Main-Regular.ttf
2022/8/18 22:44: 1280: 127.0.0.1: 404 Not Found
2022/8/18 23:09: 1288: 127.0.0.1: GET /?xq102210
2022/8/18 23:09: 1288: 127.0.0.1: 200 OK
